timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576355547860,251,Add Project,200,OK,Thread Group 1-33,text,true,,224,214,500,500,http://www.localhost:4200/project,251,0,0
1576355547860,252,Add Project,200,OK,Thread Group 1-392,text,true,,224,214,500,500,http://www.localhost:4200/project,252,0,0
1576355547860,254,Add Project,200,OK,Thread Group 1-216,text,true,,224,214,500,500,http://www.localhost:4200/project,254,0,0
1576355547860,256,Add Project,200,OK,Thread Group 1-341,text,true,,224,214,500,500,http://www.localhost:4200/project,256,0,0
1576355547860,257,Add Project,200,OK,Thread Group 1-346,text,true,,224,214,500,500,http://www.localhost:4200/project,257,0,0
1576355547860,257,Add Project,200,OK,Thread Group 1-401,text,true,,224,214,500,500,http://www.localhost:4200/project,257,0,0
1576355547861,257,Add Project,200,OK,Thread Group 1-182,text,true,,224,214,500,500,http://www.localhost:4200/project,257,0,0
1576355547861,258,Add Project,200,OK,Thread Group 1-5,text,true,,224,214,500,500,http://www.localhost:4200/project,258,0,0
1576355547861,259,Add Project,200,OK,Thread Group 1-10,text,true,,224,214,500,500,http://www.localhost:4200/project,259,0,0
1576355547861,259,Add Project,200,OK,Thread Group 1-136,text,true,,224,214,500,500,http://www.localhost:4200/project,259,0,0
1576355547862,259,Add Project,200,OK,Thread Group 1-367,text,true,,224,214,500,500,http://www.localhost:4200/project,259,0,0
1576355547862,260,Add Project,200,OK,Thread Group 1-353,text,true,,224,214,500,500,http://www.localhost:4200/project,260,0,0
1576355547865,258,Add Project,200,OK,Thread Group 1-138,text,true,,224,214,500,500,http://www.localhost:4200/project,258,0,0
1576355547866,262,Add Project,200,OK,Thread Group 1-71,text,true,,224,214,500,500,http://www.localhost:4200/project,262,0,0
1576355547871,259,Add Task,200,OK,Thread Group 1-140,text,true,,224,211,500,500,http://www.localhost:4200/task,259,0,0
1576355547873,257,Add Task,200,OK,Thread Group 1-37,text,true,,224,211,500,500,http://www.localhost:4200/task,257,0,0
1576355547876,255,Add Project,200,OK,Thread Group 1-43,text,true,,224,214,500,500,http://www.localhost:4200/project,255,0,0
1576355547876,256,Add Task,200,OK,Thread Group 1-161,text,true,,224,211,500,500,http://www.localhost:4200/task,256,0,0
1576355547877,256,Add Project,200,OK,Thread Group 1-410,text,true,,224,214,500,500,http://www.localhost:4200/project,256,0,0
1576355547881,253,Add Project,200,OK,Thread Group 1-178,text,true,,224,214,500,500,http://www.localhost:4200/project,253,0,0
1576355547882,253,Add Project,200,OK,Thread Group 1-112,text,true,,224,214,500,500,http://www.localhost:4200/project,253,0,0
1576355547882,254,Add Project,200,OK,Thread Group 1-72,text,true,,224,214,500,500,http://www.localhost:4200/project,254,0,0
1576355547883,253,Add Project,200,OK,Thread Group 1-160,text,true,,224,214,500,500,http://www.localhost:4200/project,253,0,0
1576355547885,252,Add Project,200,OK,Thread Group 1-340,text,true,,224,214,500,500,http://www.localhost:4200/project,252,0,0
1576355547885,252,Add Project,200,OK,Thread Group 1-48,text,true,,224,214,500,500,http://www.localhost:4200/project,252,0,0
1576355547897,242,Add Project,200,OK,Thread Group 1-104,text,true,,224,214,500,500,http://www.localhost:4200/project,242,0,0
1576355547900,244,Add Task,200,OK,Thread Group 1-107,text,true,,224,211,500,500,http://www.localhost:4200/task,244,0,0
1576355547901,244,Add Task,200,OK,Thread Group 1-179,text,true,,224,211,500,500,http://www.localhost:4200/task,244,0,0
1576355547902,245,Add Task,200,OK,Thread Group 1-220,text,true,,224,211,500,500,http://www.localhost:4200/task,245,0,0
1576355547903,245,Add Task,200,OK,Thread Group 1-92,text,true,,224,211,500,500,http://www.localhost:4200/task,245,0,0
1576355547903,247,Add Task,200,OK,Thread Group 1-438,text,true,,224,211,500,500,http://www.localhost:4200/task,247,0,0
1576355547904,247,Add Project,200,OK,Thread Group 1-260,text,true,,224,214,500,500,http://www.localhost:4200/project,247,0,0
1576355547905,248,Add Project,200,OK,Thread Group 1-58,text,true,,224,214,500,500,http://www.localhost:4200/project,248,0,0
1576355547906,253,Add Project,200,OK,Thread Group 1-153,text,true,,224,214,500,500,http://www.localhost:4200/project,253,0,0
1576355547910,251,Add Task,200,OK,Thread Group 1-51,text,true,,224,211,500,500,http://www.localhost:4200/task,251,0,0
1576355547911,251,Add Task,200,OK,Thread Group 1-374,text,true,,224,211,500,500,http://www.localhost:4200/task,251,0,0
1576355547912,252,Add Task,200,OK,Thread Group 1-199,text,true,,224,211,500,500,http://www.localhost:4200/task,252,0,0
1576355547912,254,Add Task,200,OK,Thread Group 1-398,text,true,,224,211,500,500,http://www.localhost:4200/task,254,0,0
1576355547932,236,Add Task,200,OK,Thread Group 1-141,text,true,,224,211,500,500,http://www.localhost:4200/task,236,0,0
1576355547933,236,Add Task,200,OK,Thread Group 1-154,text,true,,224,211,500,500,http://www.localhost:4200/task,236,0,0
